image_name,xmin,xmax,ymin,ymax,class_id
2018 04 men_2355.jpg,342,528,137,325,1
2018 04 men_2355.jpg,124,315,169,356,1
2018 04 men_2027.jpg,370,576,61,261,1
2018 04 men_2027.jpg,129,339,96,269,1
2018 04 men_2381.jpg,147,312,74,241,1
2018 04 men_2381.jpg,364,545,92,270,1
2018 04 men_1001.jpg,313,593,212,450,1
2018 04 men_1001.jpg,34,295,222,450,1
2018 04 men_1002.jpg,33,306,215,450,1
2018 04 men_1002.jpg,325,587,217,450,1
2018 04 men_4967.jpg,339,529,113,300,1
2018 04 men_4967.jpg,84,262,124,301,1
2018 04 men_1004.jpg,10,231,206,424,1
2018 04 men_1004.jpg,385,599,220,435,1
2018 04 men_1005.jpg,14,228,206,424,1
2018 04 men_1005.jpg,386,600,218,433,1
2018 04 men_5389.jpg,79,225,151,295,1
2018 04 men_5389.jpg,295,475,151,329,1
2018 04 men_2768.jpg,106,273,125,293,1
2018 04 men_2768.jpg,381,554,71,243,1
2018 04 men_1008.jpg,58,278,256,450,1
2018 04 men_1008.jpg,387,591,240,440,1
2018 04 men_2526.jpg,79,277,151,337,1
2018 04 men_2526.jpg,330,527,126,325,1
2018 04 men_18.jpg,92,293,245,443,1
2018 04 men_18.jpg,336,522,232,420,1
2018 04 men_63.jpg,387,576,40,224,1
2018 04 men_63.jpg,381,558,245,416,1
2018 04 men_1011.jpg,315,526,198,411,1
2018 04 men_1011.jpg,4,255,255,450,1
2018 04 men_1012.jpg,4,239,258,450,1
2018 04 men_1012.jpg,300,523,202,426,1
2018 04 men_1013.jpg,42,265,211,435,1
2018 04 men_1013.jpg,375,600,214,450,1
2018 04 men_1015.jpg,81,308,237,448,1
2018 04 men_1015.jpg,391,600,237,450,1
2018 04 men_2084.jpg,191,331,72,219,1
2018 04 men_2084.jpg,382,521,129,263,1
2018 04 men_2194.jpg,149,327,92,272,1
2018 04 men_2194.jpg,357,539,63,244,1
2018 04 men_2664.jpg,365,527,131,296,1
2018 04 men_2664.jpg,174,334,118,276,1
2018 04 men_1007.jpg,5,205,250,450,1
2018 04 men_1007.jpg,322,538,246,448,1
2018 04 men_1023.jpg,274,464,146,329,1
2018 04 men_19.jpg,77,297,243,450,1
2018 04 men_19.jpg,350,556,235,442,1
2018 04 men_2900.jpg,369,475,113,214,1
2018 04 men_2900.jpg,400,509,271,378,1
2018 04 men_2650.jpg,85,302,117,324,1
2018 04 men_2650.jpg,338,520,96,299,1
2018 04 men_1027.jpg,243,447,144,339,1
2018 04 men_5089.jpg,127,347,150,370,1
2018 04 men_5089.jpg,377,594,92,317,1
2018 04 men_4992.jpg,281,478,14,211,1
2018 04 men_4992.jpg,313,523,225,433,1
2018 04 men_1030.jpg,269,471,160,360,1
2018 04 men_1465.jpg,396,581,95,270,1
2018 04 men_1465.jpg,113,292,160,331,1
2018 04 men_1032.jpg,266,469,132,332,1
2018 04 men_614.jpg,99,311,247,450,1
2018 04 men_614.jpg,383,591,262,450,1
2018 04 men_907.jpg,263,484,149,367,1
2018 04 men_279.jpg,359,539,131,296,1
2018 04 men_279.jpg,215,361,77,200,1
2018 04 men_1037.jpg,318,484,173,335,1
2018 04 men_1038.jpg,288,468,141,329,1
2018 04 men_307.jpg,185,369,122,288,1
2018 04 men_307.jpg,446,600,140,289,1
2018 04 men_828.jpg,241,439,182,382,1
2018 04 men_1040.jpg,226,439,174,380,1
2018 04 men_891.jpg,229,408,194,378,1
2018 04 men_1042.jpg,237,439,183,384,1
2018 04 men_1043.jpg,164,279,303,412,1
2018 04 men_2935.jpg,362,477,281,394,1
2018 04 men_2935.jpg,345,447,97,199,1
2018 04 men_5324.jpg,261,377,277,394,1
2018 04 men_5324.jpg,373,480,121,220,1
2018 04 men_4797.jpg,366,553,95,278,1
2018 04 men_4797.jpg,99,290,91,280,1
2018 04 men_2967.jpg,400,591,3,187,1
2018 04 men_2967.jpg,365,584,212,422,1
2018 04 men_1049.jpg,265,442,176,358,1
2018 04 men_105.jpg,157,341,173,355,1
2018 04 men_1048.jpg,270,480,141,348,1
2018 04 men_4271.jpg,124,300,44,218,1
2018 04 men_4271.jpg,372,559,119,303,1
2018 04 men_1054.jpg,291,482,180,363,1
2018 04 men_1055.jpg,344,541,161,353,1
2018 04 men_1719.jpg,345,513,135,303,1
2018 04 men_1719.jpg,169,350,199,377,1
2018 04 men_1057.jpg,266,470,143,342,1
2018 04 men_1526.jpg,59,240,47,229,1
2018 04 men_1526.jpg,277,464,18,203,1
2018 04 men_1059.jpg,281,476,205,398,1
2018 04 men_106.jpg,297,491,173,361,1
2018 04 men_106.jpg,77,271,157,341,1
2018 04 men_2531.jpg,317,555,77,315,1
2018 04 men_1301.jpg,367,484,101,218,1
2018 04 men_1301.jpg,347,475,302,429,1
2018 04 men_2886.jpg,57,292,238,450,1
2018 04 men_2886.jpg,317,531,244,450,1
2018 04 men_5282.jpg,372,477,121,212,1
2018 04 men_5282.jpg,343,464,264,381,1
2018 04 men_2064.jpg,73,257,243,437,1
2018 04 men_2064.jpg,386,535,238,393,1
2018 04 men_1065.jpg,287,499,183,391,1
2018 04 men_2181.jpg,168,340,122,299,1
2018 04 men_2181.jpg,382,568,130,316,1
2018 04 men_2623.jpg,372,556,107,280,1
2018 04 men_2623.jpg,72,243,86,255,1
2018 04 men_2415.jpg,52,235,108,277,1
2018 04 men_2415.jpg,257,459,32,236,1
2018 04 men_2989.jpg,174,338,220,373,1
2018 04 men_2989.jpg,397,545,198,348,1
2018 04 men_3279.jpg,157,301,129,267,1
2018 04 men_1718.jpg,314,512,116,315,1
2018 04 men_1718.jpg,99,295,184,376,1
2018 04 men_1071.jpg,331,518,127,319,1
2018 04 men_1071.jpg,82,262,107,296,1
2018 04 men_1429.jpg,392,586,141,330,1
2018 04 men_1429.jpg,65,237,144,320,1
2018 04 men_5207.jpg,307,540,251,450,1
2018 04 men_5207.jpg,21,257,220,450,1
2018 04 men_1074.jpg,350,518,162,328,1
2018 04 men_1074.jpg,121,294,133,302,1
2018 04 men_1075.jpg,121,269,168,323,1
2018 04 men_1075.jpg,339,485,188,331,1
2018 04 men_1076.jpg,340,507,139,297,1
2018 04 men_1076.jpg,104,272,158,327,1
2018 04 men_1077.jpg,323,480,141,295,1
2018 04 men_1077.jpg,141,297,159,318,1
2018 04 men_4474.jpg,265,435,234,419,1
